TimeStamp,pressure,light,temp,WindDirection,wind_speed,RainfallWeekly,RainfallDaily,BatteryVoltage,humidity,rain,Longitude,Latitude,Topic,IMEINumber,SignalStrength,DeviceId,om_temp,om_hum,om_press,om_wind,om_rain,om_solar,merge_time
2026-01-15 10:35:00,990.0,12038.4,8.2,212.1,2.3400000000000003,0.0,0.0,3.92,97.4,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-44,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 10:35:00
2026-01-15 10:50:00,990.0,12742.4,8.3,240.8,2.8440000000000003,0.0,0.0,3.92,97.1,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-49,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 10:50:00
2026-01-15 10:50:00,990.0,12742.4,8.3,240.8,2.8440000000000003,0.0,0.0,3.92,97.1,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-49,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 10:50:00
2026-01-15 10:55:00,990.0,13171.2,8.3,211.9,1.872,0.0,0.0,3.92,96.7,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-44,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 10:55:00
2026-01-15 11:00:00,990.0,13859.2,8.4,254.0,4.104,0.0,0.0,3.93,96.0,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-46,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:00:00
2026-01-15 11:00:00,990.0,13859.2,8.4,254.0,4.104,0.0,0.0,3.93,96.0,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-46,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:00:00
2026-01-15 11:05:00,990.0,14963.2,8.5,210.3,2.088,0.0,0.0,3.93,95.6,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-44,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:05:00
2026-01-15 11:10:00,990.0,15091.2,8.6,298.5,1.692,0.0,0.0,3.92,94.3,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-44,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:10:00
2026-01-15 11:15:00,990.0,14499.2,8.7,316.3,1.692,0.0,0.0,3.91,94.8,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-45,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:15:00
2026-01-15 11:20:00,990.0,14012.8,8.8,220.4,3.384,0.0,0.0,3.92,93.6,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-45,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:20:00
2026-01-15 11:20:00,990.0,14012.8,8.8,220.4,3.384,0.0,0.0,3.92,93.6,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-45,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:20:00
2026-01-15 11:20:00,990.0,14012.8,8.8,220.4,3.384,0.0,0.0,3.92,93.6,0.0,76.473721,30.968912,WS/Campus/1,860738070183771,-45,1,10.1,84,988.1,5.4,0.0,461.0,2026-01-15 11:20:00
